Year,Internet_Users_Pct,Mobile_Per_100,GDP_Per_Capita_USD,Daraz,Easypaisa,Jazzcash
2010,7.9,51.48,1006.76,-4.61,0.38,0.11
2011,8.06,53.64,1101.48,-2.56,0.24,-0.12
2012,8.43,55.79,1185.26,0.22,0.32,-0.22
2013,9.03,57.96,1258.1,3.73,0.61,-0.19
2014,9.84,60.12,1319.99,7.98,1.11,-0.04
2015,10.88,62.29,1370.95,12.97,1.83,0.24
2016,12.13,64.47,1410.97,18.69,2.77,0.65
2017,13.6,66.65,1440.05,25.15,3.92,1.19
2018,15.29,68.84,1458.19,32.34,5.29,1.86
2019,17.2,71.02,1465.39,40.26,6.87,2.65
2020,19.33,73.22,1461.65,48.92,8.67,3.58
2021,21.67,75.42,1446.98,58.32,10.69,4.63
2022,24.24,77.62,1421.36,68.44,12.92,5.8
2023,27.02,79.83,1384.8,79.31,15.36,7.11
2024,30.03,82.04,1337.3,90.91,18.02,8.54
2025,33.25,84.26,1278.87,103.24,20.9,10.1
2026,36.7,86.48,1209.49,116.31,23.99,11.79
2027,40.36,88.7,1129.17,130.12,27.3,13.61
2028,44.24,90.94,1037.92,144.66,30.82,15.55
2029,48.34,93.17,935.72,159.93,34.56,17.63
2030,52.66,95.41,822.59,175.94,38.51,19.83
