Year,Internet_Users_Pct,Mobile_Per_100,GDP_Per_Capita_USD,Population_Total,Daraz,Easypaisa,Jazzcash,Online_Shopping,Digital_Payment
2010,8.0,49.78,987.3,199239047,0.0,0.0,0.0,3.67,0
2011,8.0,53.45,1131.74,203746065,0.0,0.5,0.0,4.08,0
2012,8.1,57.86,1204.36,207667125,0.25,0.75,0.0,5.83,0
2013,9.0,60.52,1225.43,211073978,2.08,0.33,0.0,7.08,0
2014,10.0,63.36,1266.61,214264647,3.08,1.33,0.0,10.0,0
2015,11.0,57.94,1380.47,217290883,6.25,2.5,0.0,12.83,0
2016,12.39,62.0,1424.69,220138869,7.58,2.33,0.08,14.5,0
2017,13.78,64.73,1519.23,223273967,23.83,2.58,0.92,13.5,0
2018,15.34,67.86,1569.34,226928892,38.5,4.42,1.58,13.08,0
2019,17.07,71.67,1390.42,230800899,51.0,8.83,2.92,11.25,0
2020,18.93,74.73,1278.4,235001746,60.42,9.5,4.08,17.0,0
2021,21.41,78.8,1455.32,239477801,59.75,9.67,5.17,12.0,0
2022,24.21,79.11,1538.32,243700667,66.42,12.75,6.33,10.83,0
2023,27.38,76.54,1360.32,247504495,70.0,15.5,6.17,9.75,0
